Date,SPY
1995-01-03,26.736827850341797
1995-01-04,26.864572525024414
1995-01-05,26.864572525024414
1995-01-06,26.891952514648438
1995-01-09,26.91933822631836
1995-01-10,26.94670867919922
1995-01-11,26.964975357055664
1995-01-12,26.974092483520508
1995-01-13,27.293455123901367
1995-01-16,27.457717895507812
1995-01-17,27.466842651367188
1995-01-18,27.43947410583496
1995-01-19,27.284339904785156
1995-01-20,27.1839542388916
1995-01-23,27.266094207763672
1995-01-24,27.30258560180664
1995-01-25,27.37558364868164
1995-01-26,27.40298080444336
1995-01-27,27.51247215270996
1995-01-30,27.393850326538086
1995-01-31,27.50333595275879
1995-02-01,27.494216918945312
1995-02-02,27.658466339111328
1995-02-03,28.050865173339844
1995-02-06,28.169509887695312
1995-02-07,28.206005096435547
1995-02-08,28.206005096435547
1995-02-09,28.206005096435547
1995-02-10,28.242488861083984
1995-02-13,28.251604080200195
1995-02-14,28.288108825683594
1995-02-15,28.443225860595703
1995-02-16,28.406736373901367
1995-02-17,28.2972469329834
1995-02-21,28.288108825683594
1995-02-22,28.49800682067871
1995-02-23,28.543617248535156
1995-02-24,28.616626739501953
1995-02-27,28.388477325439453
1995-02-28,28.6257381439209
1995-03-01,28.443225860595703
1995-03-02,28.479724884033203
1995-03-03,28.488868713378906
1995-03-06,28.507123947143555
1995-03-07,28.288108825683594
1995-03-08,28.361112594604492
1995-03-09,28.351980209350586
1995-03-10,28.771753311157227
1995-03-13,28.744373321533203
1995-03-14,28.954238891601562
1995-03-15,28.899497985839844
1995-03-16,29.072887420654297
1995-03-17,29.101806640625
1995-03-20,29.101806640625
1995-03-21,29.02840232849121
1995-03-22,29.055917739868164
1995-03-23,29.074277877807617
1995-03-24,29.487140655517578
1995-03-27,29.606399536132812
1995-03-28,29.606399536132812
1995-03-29,29.59721565246582
1995-03-30,29.542179107666016
1995-03-31,29.42290496826172
1995-04-03,29.496294021606445
1995-04-04,29.688980102539062
1995-04-05,29.688980102539062
1995-04-06,29.799068450927734
1995-04-07,29.77153968811035
1995-04-10,29.826602935791016
1995-04-11,29.72567367553711
1995-04-12,29.826602935791016
1995-04-13,29.991741180419922
1995-04-17,29.81742286682129
1995-04-18,29.716493606567383
1995-04-19,29.688980102539062
1995-04-20,29.73485565185547
1995-04-21,29.881643295288086
1995-04-24,30.230268478393555
1995-04-25,30.14769744873047
1995-04-26,30.175235748291016
1995-04-27,30.248615264892578
1995-04-28,30.29449462890625
1995-05-01,30.211923599243164
1995-05-02,30.27617073059082
1995-05-03,30.698183059692383
1995-05-04,30.679834365844727
1995-05-05,30.64311981201172
1995-05-08,30.863327026367188
1995-05-09,30.83578872680664
1995-05-10,30.87249755859375
1995-05-11,30.955047607421875
1995-05-12,30.97340965270996
1995-05-15,31.12020492553711
1995-05-16,31.138559341430664
1995-05-17,31.01927947998047
1995-05-18,30.569740295410156
1995-05-19,30.58806800842285
1995-05-22,30.927549362182617
1995-05-23,31.211956024169922
1995-05-24,31.193601608276367
1995-05-25,31.22112464904785
1995-05-26,30.863327026367188
1995-05-30,30.85413932800293
1995-05-31,31.496362686157227
1995-06-01,31.41379737854004
1995-06-02,31.441312789916992
1995-06-05,31.633975982666016
1995-06-06,31.578941345214844
1995-06-07,31.41379737854004
1995-06-08,31.340375900268555
1995-06-09,31.15690803527832
1995-06-12,31.331226348876953
1995-06-13,31.670690536499023
1995-06-14,31.643171310424805
1995-06-15,31.780763626098633
1995-06-16,31.875137329101562
1995-06-19,32.23504638671875
1995-06-20,32.1519889831543
1995-06-21,32.13351821899414
1995-06-22,32.55805206298828
1995-06-23,32.49345397949219
1995-06-26,32.10585403442383
1995-06-27,32.041229248046875
1995-06-28,32.20736312866211
1995-06-29,32.1519889831543
1995-06-30,32.13351821899414
1995-07-03,32.25349807739258
1995-07-05,32.37345886230469
1995-07-06,32.78874206542969
1995-07-07,32.9364013671875
1995-07-10,32.95486831665039
1995-07-11,32.79798126220703
1995-07-12,33.20403289794922
1995-07-13,33.13020324707031
1995-07-14,33.10253143310547
1995-07-17,33.2870979309082
1995-07-18,33.000999450683594
1995-07-19,32.64106369018555
1995-07-20,32.76106262207031
1995-07-21,32.72414779663086
1995-07-24,32.96409225463867
1995-07-25,33.21326446533203
1995-07-26,33.185569763183594
1995-07-27,33.46243667602539
1995-07-28,33.25015640258789
1995-07-31,33.16712188720703
1995-08-01,33.111751556396484
1995-08-02,33.03791046142578
1995-08-03,33.028690338134766
1995-08-04,33.065608978271484
1995-08-07,33.13945388793945
1995-08-08,33.13945388793945
1995-08-09,33.13020324707031
1995-08-10,33.056373596191406
1995-08-11,32.87181091308594
1995-08-14,33.16712188720703
1995-08-15,33.10253143310547
1995-08-16,33.19480895996094
1995-08-17,33.13945388793945
1995-08-18,33.176353454589844
1995-08-21,33.08406448364258
1995-08-22,33.14866256713867
1995-08-23,33.028690338134766
1995-08-24,33.065608978271484
1995-08-25,33.25015640258789
1995-08-28,33.13020324707031
1995-08-29,33.21326446533203
1995-08-30,33.2870979309082
1995-08-31,33.314781188964844
1995-09-01,33.46243667602539
1995-09-05,33.77619552612305
1995-09-06,33.840782165527344
1995-09-07,33.859256744384766
1995-09-08,33.988460540771484
1995-09-11,34.08073043823242
1995-09-12,34.23760986328125
1995-09-13,34.39450454711914
1995-09-14,34.70827102661133
1995-09-15,34.69869613647461
1995-09-18,34.568809509277344
1995-09-19,34.73579788208008
1995-09-20,34.902793884277344
1995-09-21,34.61520767211914
1995-09-22,34.624473571777344
1995-09-25,34.568809509277344
1995-09-26,34.55953598022461
