Event,Ticker,CAGR,Volatility,MaxDrawdown,CrashReturn,RecoveryDays,StartDate,EndDate,TroughDate
COVID,Balanced_60_30_10,-0.12783107659440462,0.2898055403637234,-0.20183019646317102,-0.20183019646317102,,2020-02-01,2020-04-30,2020-03-23
COVID,SPY,-0.326501396087418,0.4959609076700841,-0.3371728154001947,-0.3371728154001947,,2020-02-01,2020-04-30,2020-03-23
2022_rates,Balanced_60_30_10,-0.20573474775670264,0.13216713060939442,-0.21115159740885925,-0.21115159740885925,,2022-01-01,2022-10-31,2022-10-14
2022_rates,SPY,-0.20979990225556144,0.20273510498812503,-0.24496381305067005,-0.24496381305067005,,2022-01-01,2022-10-31,2022-10-12
Debt_Ceiling_2011,Balanced_60_30_10,-0.00923555994851577,0.17711988206235646,-0.07813570574418682,-0.07813570574418682,24.0,2011-08-01,2011-12-30,2011-10-03
Debt_Ceiling_2011,SPY,-0.034039423266334246,0.32081607232448583,-0.1419572801781036,-0.1419572801781036,24.0,2011-08-01,2011-12-30,2011-10-03
